fecha	hora	precio_md
2015-02-04	3	25
2015-02-04	4	23.98
2015-02-04	5	22
2015-02-04	6	24.6
2015-02-04	7	30
2015-02-04	8	45.01
2015-02-04	9	51.69
2015-02-04	10	57.25
2015-02-04	11	58.31
2015-02-04	12	54.1
2015-02-04	13	51.14
2015-02-04	14	42.59
2015-02-04	15	30.62
2015-02-04	16	29.5
2015-02-04	17	31.5
2015-02-04	18	35.15
2015-02-04	19	42.59
2015-02-04	20	54.1
2015-02-04	21	56.07
2015-02-04	22	50.83
2015-02-04	23	40.82
2015-02-04	24	31.5
2015-02-05	1	27.21
2015-02-05	2	26.28
2015-02-05	3	17
2015-02-05	4	20
2015-02-05	5	17
2015-02-05	6	25
2015-02-05	7	30
2015-02-05	8	43.89
2015-02-05	9	50.69
2015-02-05	10	57.25
2015-02-05	11	58.49
2015-02-05	12	55.1
2015-02-05	13	52.6
2015-02-05	14	47.1
2015-02-05	15	42.59
2015-02-05	16	42.55
2015-02-05	17	43.89
2015-02-05	18	48.6
2015-02-05	19	52.6
2015-02-05	20	61.01
2015-02-05	21	57.99
2015-02-05	22	53
2015-02-05	23	47.5
2015-02-05	24	46.25
2015-02-06	1	41.27
2015-02-06	2	33.73
2015-02-06	3	30.15
2015-02-06	4	28
2015-02-06	5	28
2015-02-06	6	30.15
2015-02-06	7	37.03
2015-02-06	8	52.69
2015-02-06	9	53.89
2015-02-06	10	58.7
2015-02-06	11	59.99
2015-02-06	12	55.1
2015-02-06	13	53.35
2015-02-06	14	49.64
2015-02-06	15	40.75
2015-02-06	16	40.4
2015-02-06	17	42.19
2015-02-06	18	48.6
2015-02-06	19	52.6
2015-02-06	20	57.99
2015-02-06	21	56.1
2015-02-06	22	54.49
2015-02-06	23	52.03
2015-02-06	24	50.01
2015-02-07	1	53.68
2015-02-07	2	51.49
2015-02-07	3	47.44
2015-02-07	4	43.94
2015-02-07	5	42.45
2015-02-07	6	43.94
2015-02-07	7	45.21
2015-02-07	8	49.11
2015-02-07	9	49.97
2015-02-07	10	53.81
2015-02-07	11	56.62
2015-02-07	12	55.19
2015-02-07	13	54.24
2015-02-07	14	55.74
2015-02-07	15	53.24
2015-02-07	16	51.37
2015-02-07	17	50.51
2015-02-07	18	51.69
2015-02-07	19	61.25
2015-02-07	20	70.03
2015-02-07	21	64.89
2015-02-07	22	60
2015-02-07	23	55.19
2015-02-07	24	53.24
2015-02-08	1	50.42
2015-02-08	2	43.98
2015-02-08	3	40.94
2015-02-08	4	39.51
2015-02-08	5	39
2015-02-08	6	40.13
2015-02-08	7	42.1
2015-02-08	8	43.98
2015-02-08	9	42.1
2015-02-08	10	43.76
2015-02-08	11	43.98
2015-02-08	12	40.94
2015-02-08	13	37.02
2015-02-08	14	34.84
2015-02-08	15	33.21
2015-02-08	16	27
2015-02-08	17	26.39
2015-02-08	18	26.84
2015-02-08	19	37.1
2015-02-08	20	45.56
2015-02-08	21	50.48
2015-02-08	22	49.88
2015-02-08	23	45.56
2015-02-08	24	40.56
2015-02-09	1	34.23
